Software,Parameter,Code Snippet,Code Pattern,Overall Impact,Effect on Software Behavior,How to Control Software Behavior,Special Effect on Software,Bad consequences,Log Information,On-the-fly Update,"The ""Crisis"" Behind Specific Interactions"
hbase,hbase.hstore.flusher.count,"  private int getHandlerCount(Configuration conf) {
    int handlerCount = conf.getInt(""hbase.hstore.flusher.count"", 2);
    if (handlerCount < 1) {
      LOG.warn(
        ""hbase.hstore.flusher.count was configed to {} which is less than 1, "" + ""corrected to 1"",
        handlerCount);
      handlerCount = 1;
    }
    return handlerCount;
  }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,unexpected results,"      LOG.warn(
        ""hbase.hstore.flusher.count was configed to {} which is less than 1, "" + ""corrected to 1""",yes,Differ from the parameters' default value
hbase,hbase.server.compactchecker.interval.multiplier,"    this.compactionCheckMultiplier = conf.getInt(COMPACTCHECKER_INTERVAL_MULTIPLIER_KEY,
      DEFAULT_COMPACTCHECKER_INTERVAL_MULTIPLIER);
    if (this.compactionCheckMultiplier <= 0) {
      LOG.error(""Compaction check period multiplier must be positive, setting default: {}"",
        DEFAULT_COMPACTCHECKER_INTERVAL_MULTIPLIER);
      this.compactionCheckMultiplier = DEFAULT_COMPACTCHECKER_INTERVAL_MULTIPLIER;
    }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,unexpected results,"LOG.error(""Compaction check period multiplier must be positive, setting default: {}"",
        DEFAULT_COMPACTCHECKER_INTERVAL_MULTIPLIER);",no,Same as default value
hbase,hbase.region.store.parallel.put.print.threshold,"    int confPrintThreshold =
      this.conf.getInt(""hbase.region.store.parallel.put.print.threshold"", 50);
    if (confPrintThreshold < 10) {
      confPrintThreshold = 10;
    }
    this.parallelPutCountPrintThreshold = confPrintThreshold;",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,unexpected results,/,no,Differ from the parameters' default value
hbase,hbase.regionserver.handler.abort.on.error.percent,"        if (
          this.handlerFailureThreshhold >= 0
            && failedCount > handlerCount * this.handlerFailureThreshhold
        ) {
          String message = ""Number of failed RpcServer handler runs exceeded threshhold ""
            + this.handlerFailureThreshhold + ""; reason: "" + StringUtils.stringifyException(e);
          if (abortable != null) {
            abortable.abort(message, e);
          } else {
            LOG.error(""Error but can't abort because abortable is null: ""
              + StringUtils.stringifyException(e));
            throw e;
          }
        }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,runtime error,/,no,/
hbase,hbase.hstore.flush.retries.number,"    flushRetriesNumber =
      conf.getInt(""hbase.hstore.flush.retries.number"", DEFAULT_FLUSH_RETRIES_NUMBER);
    pauseTime = conf.getInt(HConstants.HBASE_SERVER_PAUSE, HConstants.DEFAULT_HBASE_SERVER_PAUSE);
    if (flushRetriesNumber <= 0) {
      throw new IllegalArgumentException(
        ""hbase.hstore.flush.retries.number must be > 0, not "" + flushRetriesNumber);
    }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,runtime error,/,no,/
hbase,hbase.hstore.blockingStoreFiles,"        if (blockingFileCount < 1000) {
          message =
            ""Blocking file count '"" + HStore.BLOCKING_STOREFILES_KEY + ""' "" + blockingFileCount
              + "" is below recommended minimum of 1000 for column family "" + hcd.getNameAsString();
          throw new IOException(message);
        }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,runtime error,/,no,/
hbase,hbase.client.scanner.max.result.size,"  private long resultSize2CacheSize(long maxResultSize) {
    // * 2 if possible
    return maxResultSize > Long.MAX_VALUE / 2 ? maxResultSize : maxResultSize * 2;
  }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,/,/,no,/
hbase,hbase.hregion.majorcompaction.jitter,"    if (jitterPct <= 0) {
      return period;
    }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,/,/,no,/
hbase,hbase.regionserver.storefile.refresh.period,"    if (storefileRefreshPeriod > 0) {
      this.storefileRefresher =
        new StorefileRefresherChore(storefileRefreshPeriod, onlyMetaRefresh, this, this);
    }",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,/,/,no,/
hbase,hbase.master.balancer.maxRitPercent,"    int numRegions = this.assignmentManager.getRegionStates().getRegionAssignments().size();
    return Math.max((int) Math.floor(numRegions * this.maxRitPercent), 1);",C->P,Reliability,Misconfiguration Prevention,Invalid config,/,/,/,no,/
