Software,Parameter,Code Snippet,Code Pattern,Overall Impact,Effect on Software Behavior,How to Control Software Behavior,Special Effect on Software,Bad consequences,Log Information,On-the-fly Update,"The ""Crisis"" Behind Specific Interactions"
hbase,hbase.storescanner.parallel.seek.enable,"    // Parallel seeking is on if the config allows and more there is more than one store file.
    if (store != null && store.getStorefilesCount() > 1) {
      RegionServerServices rsService = store.getHRegion().getRegionServerServices();
      if (rsService != null && scanInfo.isParallelSeekEnabled()) {
        this.parallelSeekEnabled = true;
        this.executor = rsService.getExecutorService();
      }
    }",P-V,Performance,Workload Adaption,Optimization On-off,/,Performance Degradation,/,no,Optimization is FALSE
hbase,hbase.regionserver.compaction.enabled,if (!useLock && cacheable && cacheConf.shouldLockOnCacheMiss(expectedBlockType)) {,P-V,Functionality and Others,/,/,/,/,/,no,/
hbase,hbase.server.compactchecker.interval.multiplier,"            long multiplier = s.getCompactionCheckMultiplier();
            assert multiplier > 0;
            if (iteration % multiplier != 0) {
              continue;
            }",P-V,Functionality and Others,/,/,/,/,/,no,/
hbase,hbase.region.replica.replication.enabled,"    if (
      regionReplication <= 1 || !RegionReplicaUtil.isDefaultReplica(regionInfo)
        || !ServerRegionReplicaUtil.isRegionReplicaReplicationEnabled(conf, regionInfo.getTable())
        || rss == null
    ) {
      regionReplicationSink = Optional.empty();
      return;
    }",P-V,Functionality and Others,/,/,/,/,/,no,/
hdfs,dfs.namenode.name.dir.restore,"    if(!restoreFailedStorage || removedStorageDirs.size() == 0) {
      return; //nothing to restore
    }",P-V,Performance,Workload Adaption,Optimization On-off,/,Performance Degradation,"      LOG.info(""NNStorage.attemptRestoreRemovedStorage: check removed(failed) ""+
               ""storage. removedStorages size = {}"", removedStorageDirs.size());",no,Optimization is FALSE
hdfs,DFS_BALANCER_MOVERTHREADS_KEY,int threadsPerTarget = maxMoverThreads/targets.size();,P-V,Functionality and Others,/,/,/,/,"      LOG.warn(DFSConfigKeys.DFS_BALANCER_MOVERTHREADS_KEY + ""="" +
          maxMoverThreads + "" is too small for moving blocks to "" +
          targets.size() + "" targets. Balancing may be slower."");",no,/
hdfs,dfs.namenode.avoid.write.stale.datanode,"  public boolean shouldAvoidStaleDataNodesForWrite() {
    // If # stale exceeds maximum staleness ratio, disable stale
    // datanode avoidance on the write path
    return avoidStaleDataNodesForWrite && numStaleNodes > 0 &&
        (numStaleNodes <= heartbeatManager.getLiveDatanodeCount()
            * ratioUseStaleDataNodesForWrite);
  }",P-V,Performance,Workload Adaption,Optimization On-off,/,Performance Degradation,/,no,Optimization is FALSE
hdfs,dfs.namenode.avoid.read.stale.datanode,"  private boolean isInactive(DatanodeInfo datanode) {
    return datanode.isDecommissioned() ||
        datanode.isDecommissionInProgress() ||
        datanode.isEnteringMaintenance() ||
        (avoidStaleDataNodesForRead && datanode.isStale(staleInterval));
  }",P-V,Performance,Workload Adaption,Optimization On-off,/,Performance Degradation,/,no,Optimization is FALSE
hdfs,dfs.namenode.avoid.read.slow.datanode,return avoidSlowDataNodesForRead && slowNodesUuidSet.contains(dnUuid);,P-V,Performance,Workload Adaption,Optimization On-off,/,Performance Degradation,/,no,Optimization is FALSE
hdfs,dfs.datanode.drop.cache.behind.reads,"    if (ris.getDataInFd() != null &&
        ((dropCacheBehindAllReads) ||
         (dropCacheBehindLargeReads && isLongRead()))) {
      try {
        ris.dropCacheBehindReads(block.getBlockName(), lastCacheDropOffset,
            offset - lastCacheDropOffset, POSIX_FADV_DONTNEED);
      } catch (Exception e) {
        LOG.warn(""Unable to drop cache on file close"", e);
      }
    }",P-V,Performance,Workload Adaption,Optimization On-off,/,Performance Degradation,/,no,Optimization is FALSE
