Software,Parameter,Code Snippet,Code Pattern,Overall Impact,Effect on Software Behavior,How to Control Software Behavior,Special Effect on Software,Bad consequences,Log Information,On-the-fly Update,"The ""Crisis"" Behind Specific Interactions"
hbase,hbase.regionserver.handler.abort.on.error.percent,"        if (
          this.handlerFailureThreshhold >= 0
            && failedCount > handlerCount * this.handlerFailureThreshhold
        ) {
          String message = ""Number of failed RpcServer handler runs exceeded threshhold ""
            + this.handlerFailureThreshhold + ""; reason: "" + StringUtils.stringifyException(e);
          if (abortable != null) {
            abortable.abort(message, e);
          } else {
            LOG.error(""Error but can't abort because abortable is null: ""
              + StringUtils.stringifyException(e));
            throw e;
          }
        }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,Prevent excessive resource utilization,/,"          String message = ""Number of failed RpcServer handler runs exceeded threshhold ""
            + this.handlerFailureThreshhold + ""; reason: "" + StringUtils.stringifyException(e);",no,Inappropriate threshold in P¡úV
hbase,hbase.hstore.flush.retries.number,"    for (int i = 0; i < flushRetriesNumber; i++) {
      try {
        List<Path> pathNames = flusher.flushSnapshot(snapshot, logCacheFlushId, status,
          throughputController, tracker, writerCreationTracker);
        Path lastPathName = null;
        try {
          for (Path pathName : pathNames) {
            lastPathName = pathName;
            storeEngine.validateStoreFile(pathName);
          }
          return pathNames;
        } catch (Exception e) {
          LOG.warn(""Failed validating store file {}, retrying num={}"", lastPathName, i, e);
          if (e instanceof IOException) {
            lastException = (IOException) e;
          } else {
            lastException = new IOException(e);
          }
        }
      } catch (IOException e) {
        LOG.warn(""Failed flushing store file for {}, retrying num={}"", this, i, e);
        lastException = e;
      }
      if (lastException != null && i < (flushRetriesNumber - 1)) {
        try {
          Thread.sleep(pauseTime);
        } catch (InterruptedException e) {
          IOException iie = new InterruptedIOException();
          iie.initCause(e);
          throw iie;
        }
      }
    }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,Prevent excessive resource utilization,/,"LOG.warn(""Failed validating store file {}, retrying num={}"", lastPathName, i, e);",no,Inappropriate threshold in P¡úV
hbase,hbase.auth.key.update.interval,"        if (localLastKeyUpdate + keyUpdateInterval < now) {
          // roll a new master key
          rollCurrentKey();
        }",P¡úV,Reliability,Fault Tolerance,Timeout Limitation,/,/,/,no,Inappropriate threshold in P¡úV
hbase,hbase.client.scanner.max.result.size,"    if (cacheSize >= maxCacheSize) {
      stopPrefetch(controller);
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,"      LOG.debug(
        ""{} stop prefetching when scanning {} as the cache size {}""
          + "" is greater than the maxCacheSize {}"",
        String.format(""0x%x"", System.identityHashCode(this)), tableName, cacheSize, maxCacheSize);",no,Inappropriate threshold in P¡úV
hbase,hbase.region.store.parallel.put.print.threshold,"      if (this.currentParallelPutCount.getAndIncrement() > this.parallelPutCountPrintThreshold) {
        LOG.trace(""tableName={}, encodedName={}, columnFamilyName={} is too busy!"",
          this.getTableName(), this.getRegionInfo().getEncodedName(), this.getColumnFamilyName());
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,"LOG.trace(""tableName={}, encodedName={}, columnFamilyName={} is too busy!"",
          this.getTableName(), this.getRegionInfo().getEncodedName(), this.getColumnFamilyName());",no,Inappropriate threshold in P¡úV
hbase,hbase.hstore.blockingStoreFiles,"      if (store.hasTooManyStoreFiles()) {
        return true;
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.hstore.blockingStoreFiles,if (!region.getRegionInfo().isMetaRegion() && isTooManyStoreFiles(region)) {,P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.hstore.compaction.min.size,"    while (
      countOfFiles - start >= comConf.getMinFilesToCompact() && fileSizes[start]
          > Math.max(comConf.getMinCompactSize(), (long) (sumSize[start + 1] * ratio))
    ) {
      ++start;
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.mob.file.cache.size,"            if (map.size() > mobFileMaxCacheSize) {
              evict();
            }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.hregion.preclose.flush.size,"  private boolean worthPreFlushing() {
    return this.memStoreSizing.getDataSize()
        > this.conf.getLong(""hbase.hregion.preclose.flush.size"", 1024 * 1024 * 5);
  }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.regionserver.maxlogs,"this.maxLogs = conf.getInt(MAX_LOGS, Math.max(32, calculateMaxLogFiles(conf, logrollsize)));
    if (logCount > this.maxLogs && logCount > 0) {
      Map.Entry<Path, WALProps> firstWALEntry = this.walFile2Props.firstEntry();
      regions =
        this.sequenceIdAccounting.findLower(firstWALEntry.getValue().encodedName2HighestSequenceId);
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.master.mob.cleaner.period,else if (TEST_FORCE_REFRESH || (now - lastUpdate) >= refreshPeriod) {,P¡úV,Performance,Workload Adaption,Resource Limitation,/,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.regionserver.storefile.refresh.period,"  protected boolean isRegionStale(String encodedName, long time) {
    long lastRefreshTime = lastRefreshTimes.get(encodedName);
    return time - lastRefreshTime > hfileTtl - period;
  }",P¡úV,Performance,Workload Adaption,Resource Limitation,/,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hbase,hbase.server.scanner.max.result.size,"        if (
          context != null && context.isRetryImmediatelySupported()
            && (context.getResponseCellSize() > maxQuotaResultSize
              || blockBytesScannedBefore + context.getResponseExceptionSize() > maxQuotaResultSize)
        ) {",P¡úV,Reliability,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,runtime error,/,no,Inappropriate threshold in P¡úV
hbase,hbase.hregion.majorcompaction.jitter,return period + jitter - Math.round(2L * jitter * RNG.nextDouble());,P¡úV,Functionality and Others,/,/,/,/,/,no,/
hdfs,dfs.namenode.checkpoint.max-retries,"        if (checkpointImage.getMergeErrorCount() > maxRetries) {
          LOG.error(""Merging failed "" +
              checkpointImage.getMergeErrorCount() + "" times."");
          terminate(1);
        }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,/,runtime error,"          LOG.error(""Merging failed "" +
              checkpointImage.getMergeErrorCount() + "" times."");",no,Inappropriate threshold in P¡úV
hdfs,dfs.client.max.block.acquire.failures,"    if (failures >= dfsClient.getConf().getMaxBlockAcquireFailures()) {
      String description = ""Could not obtain block: "" + blockInfo;
      DFSClient.LOG.warn(description + errMsg
          + "". Throwing a BlockMissingException"");
      throw new BlockMissingException(src, description + errMsg,
          block.getStartOffset());
    }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,/,runtime error,"      DFSClient.LOG.warn(description + errMsg
          + "". Throwing a BlockMissingException"");",no,Inappropriate threshold in P¡úV
hdfs,dfs.datanode.failed.volumes.tolerated,"      if (failedLocations.size() > maxVolumeFailuresTolerated) {
        throw new DiskErrorException(""Too many failed volumes - ""
            + ""current valid volumes: "" + goodLocations.size()
            + "", volumes configured: "" + dataDirs.size()
            + "", volumes failed: "" + failedLocations.size()
            + "", volume failures tolerated: "" + maxVolumeFailuresTolerated);
      }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,Prevent excessive resource utilization,runtime error,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.disk.balancer.max.disk.errors,"      while (!iter.atEnd() && item.getErrorCount() <= getMaxError(item)) {
        try {
          ExtendedBlock block = iter.nextBlock();
          if(null == block){
            LOG.info(""NextBlock call returned null. No valid block to copy. {}"",
                item.toJson());
            return null;
          }
          // A valid block is a finalized block, we iterate until we get
          // finalized blocks
          if (!this.dataset.isValidBlock(block)) {
            continue;
          }
          // We don't look for the best, we just do first fit
          if (isLessThanNeeded(block.getNumBytes(), item)) {
            return block;
          }
        } catch (IOException e) {
          item.incErrorCount();
        }
      }
      if (item.getErrorCount() > getMaxError(item)) {
        item.setErrMsg(""Error count exceeded."");
        LOG.info(""Maximum error count exceeded. Error count: {} Max error:{} "",
            item.getErrorCount(), item.getMaxDiskErrors());
      }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,Prevent excessive resource utilization,/,"      if (item.getErrorCount() > getMaxError(item)) {
        item.setErrMsg(""Error count exceeded."");
        LOG.info(""Maximum error count exceeded. Error count: {} Max error:{} "",
            item.getErrorCount(), item.getMaxDiskErrors());
      }",no,Inappropriate threshold in P¡úV
hdfs,dfs.ha.tail-edits.namenode-retries,"          if ((nnLoopCount / nnCount) >= maxRetries) {
            return null;
          }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,/,/,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.datanode.scan.period.hours,"        if (System.currentTimeMillis() - attr.lastAccessTime().
            to(TimeUnit.MILLISECONDS) < conf.scanPeriodMs) {",P¡úV,Reliability,Fault Tolerance,Timeout Limitation,/,/,/,no,Inappropriate threshold in P¡úV
