Software,Parameter,Code Snippet,Code Pattern,Overall Impact,Effect on Software Behavior,How to Control Software Behavior,Special Effect on Software,Bad consequences,Log Information,On-the-fly Update,"The ""Crisis"" Behind Specific Interactions"
hbase,hbase.regionserver.region.split.threads.max,"    // Max #threads is the smaller of the number of storefiles or the default max determined above.
    int maxThreads = Math.min(
      conf.getInt(HConstants.REGION_SPLIT_THREADS_MAX,
        conf.getInt(HStore.BLOCKING_STOREFILES_KEY, HStore.DEFAULT_BLOCKING_STOREFILE_COUNT)),
      nbFiles);
    LOG.info(""pid="" + getProcId() + "" splitting "" + nbFiles + "" storefiles, region=""
      + getParentRegion().getShortNameToLog() + "", threads="" + maxThreads);
    final ExecutorService threadPool = Executors.newFixedThreadPool(maxThreads,
      new ThreadFactoryBuilder().setNameFormat(""StoreFileSplitter-pool-%d"").setDaemon(true)
        .setUncaughtExceptionHandler(Threads.LOGGING_EXCEPTION_HANDLER).build());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,"    LOG.info(""pid="" + getProcId() + "" splitting "" + nbFiles + "" storefiles, region=""
      + getParentRegion().getShortNameToLog() + "", threads="" + maxThreads);",no,Lack of full adaption
hbase,hbase.hregion.open.and.init.threads.max,"    int maxThreads =
      Math.min(regionNumber, conf.getInt(""hbase.hregion.open.and.init.threads.max"", 16));
    ThreadPoolExecutor regionOpenAndInitThreadPool = Threads.getBoundedCachedThreadPool(maxThreads,
      30L, TimeUnit.SECONDS, new ThreadFactoryBuilder().setNameFormat(threadNamePrefix + ""-pool-%d"")
        .setDaemon(true).setUncaughtExceptionHandler(Threads.LOGGING_EXCEPTION_HANDLER).build());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hbase,hbase.replication.source.maxthreads,"int n = Math.min(Math.min(this.maxThreads, entries.size() / 100 + 1), numSinks);
    List<List<Entry>> entryLists =
      Stream.generate(ArrayList<Entry>::new).limit(n).collect(Collectors.toList());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hbase,hbase.storescanner.pread.max.bytes,"conf.getLong(StoreScanner.STORESCANNER_PREAD_MAX_BYTES, 4 * blockSize)",V->P,Performance,Workload Adaption,Resource Tunning,/,Performance Degradation,/,no,Lack of necessary adjustment to user-set values
hdfs,dfs.balancer.getBlocks.size,"      final long size = Math.min(getBlocksSize, blocksToReceive);
      final BlocksWithLocations newBlksLocs =
          nnc.getBlocks(getDatanodeInfo(), size, getBlocksMinBlockSize,
              hotBlockTimeInterval);",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,"          LOG.trace(this + "" blocksToReceive="" + blocksToReceive
              + "", scheduledSize="" + getScheduledSize()
              + "", srcBlocks#="" + srcBlocks.size());
        }",no,Lack of full adaption
hdfs,DFS_BALANCER_DISPATCHERTHREADS_KEY,"    int concurrentThreads = Math.min(sources.size(),
        ((ThreadPoolExecutor)dispatchExecutor).getCorePoolSize());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hdfs,dfs.namenode.invalidate.work.pct.per.iteration,"nodesToProcess = Math.min(nodes.size(), nodesToProcess);",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,Performance Degradation,/,no,Lack of full adaption
hdfs,nfs.rtmax,"      int buffSize = Math.min(rtmax, count);
      byte[] readbuffer = new byte[buffSize];",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,Performance Degradation,/,no,Lack of full adaption
hdfs,dfs.datanode.volumes.replica-add.threadpool.size,"      int numberOfBlockPoolSlice = dataset.getVolumeCount()
          * dataset.getBPServiceCount();
      int poolsize = Math.max(numberOfBlockPoolSlice,
          VOLUMES_REPLICA_ADD_THREADPOOL_SIZE);
      // Default pool sizes is max of (volume * number of bp_service) and
      // number of processor.
      addReplicaThreadPool = new ForkJoinPool(conf.getInt(
          DFSConfigKeys.DFS_DATANODE_VOLUMES_REPLICA_ADD_THREADPOOL_SIZE_KEY,
          poolsize));",V->P,Performance,Workload Adaption,Resource Tunning,/,Performance Degradation,/,no,Lack of full adaption
hdfs,dfs.client-write-packet-size,"      computePacketChunkSize(
          Math.min(dfsClient.getConf().getWritePacketSize(), freeInLastBlock),
          bytesPerChecksum);",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,/,unexpected results,/,no,Lack of full adaption
hdfs,dfs.namenode.list.openfiles.num.responses,"    final int numResponses = Math.min(
        this.fsnamesystem.getMaxListOpenFilesResponses(), inodeIds.size());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hdfs,dfs.image.transfer.chunksize,"      int chunkSize = (int) conf.getLongBytes(
          DFSConfigKeys.DFS_IMAGE_TRANSFER_CHUNKSIZE_KEY,
          DFSConfigKeys.DFS_IMAGE_TRANSFER_CHUNKSIZE_DEFAULT);
      if (imageFile.length() > chunkSize) {
        // using chunked streaming mode to support upload of 2GB+ files and to
        // avoid internal buffering.
        // this mode should be used only if more than chunkSize data is present
        // to upload. otherwise upload may not happen sometimes.
        connection.setChunkedStreamingMode(chunkSize);
      }",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,unexpected results,/,no,/
hdfs,DFS_BALANCER_MOVERTHREADS_KEY,final int allocated = remaining < n? remaining: n;,V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,/,no,/
hive,hive.exec.reducers.bytes.per.reducer,"double bytes = Math.max(totalInputFileSize, bytesPerReducer);",V->P,Performance,Workload Adaption,Resource Tunning,/,unexpected results,"      LOG.info(""BytesPerReducer={} maxReducers={} estimated totalInputFileSize={}"", bytesPerReducer,
        maxReducers, totalInputFileSize);",no,Lack of full adaption
hive,hive.exec.reducers.max,"reducers = Math.min(maxReducers, reducers);",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,"    if (totalInputFileSize != inputSummary.getLength()) {
      LOG.info(""BytesPerReducer={} maxReducers={} estimated totalInputFileSize={}"", bytesPerReducer,
        maxReducers, totalInputFileSize);
    } else {
      LOG.info(""BytesPerReducer={} maxReducers={} totalInputFileSize={}"", bytesPerReducer,
        maxReducers, totalInputFileSize);
    }",no,Lack of full adaption
hive,PARTITION_MANAGEMENT_TASK_THREAD_POOL_SIZE,"        int threadPoolSize = MetastoreConf.getIntVar(conf,
          MetastoreConf.ConfVars.PARTITION_MANAGEMENT_TASK_THREAD_POOL_SIZE);
        final ExecutorService executorService = Executors
          .newFixedThreadPool(Math.min(candidates.size(), threadPoolSize),
            new ThreadFactoryBuilder().setDaemon(true).setNameFormat(""PartitionDiscoveryTask-%d"").build());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,"LOG.info(""Found {} candidate tables for partition discovery"", candidates.size());",no,Lack of full adaption
hive,hive.basic.stats.max.threads.factor,"int numThreads = Math.min(fileList.size(), numThreadsFactor * Runtime.getRuntime().availableProcessors());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,"LOG.info(""Processing Stats for {} file using {} threads"", fileList.size(), numThreads);",no,Lack of full adaption
hive,hive.mapjoin.optimized.hashtable.wbsize,"    writeBufferSize = writeBufferSize < minWbSize ? minWbSize : Math.min(maxWbSize / numPartitions, writeBufferSize);
    LOG.info(""Write buffer size: "" + writeBufferSize);",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hive,hive.exec.orc.blob.storage.split.size,"Math.min(splitSize, logicalLen - start)",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,Performance Degradation,/,no,Lack of full adaption
hive,hive.metastore.batch.retrieve.table.partition.max,"int endIndex = Math.min(listIndex + fileMetadataBatchSize, fileIds.size());",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,/,Performance Degradation,/,no,Lack of full adaption
hive,hive.orc.compute.splits.num.threads,"int numThreads = min(HiveConf.getIntVar(conf, ConfVars.HIVE_COMPUTE_SPLITS_NUM_THREADS), dirs.size());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,Performance Degradation,/,no,Lack of full adaption
hive,hive.orc.compute.splits.num.threads,"int fetcherPoolParallelism = Math.min(maxAsyncLookupCount, numberOfUnmanagedPaths);",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,Performance Degradation,/,no,Lack of full adaption
hive,hive.metastore.batch.retrieve.max,"        int nextBatchEnd = Math.min(partNames.size(), nextBatchStart + this.batchSize);
        List<String> currentNames = partNames.subList(nextBatchStart, nextBatchEnd);",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hive,hive.metastore.direct.sql.batch.size,"      toIndex = Math.min(fromIndex + batchSize, input.size());
      List<I> batchedInput = input.subList(fromIndex, toIndex);",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hive,hive.repl.load.partitions.batch.size,"      int pendingPartitionCount = totalPartitionCount - currentPartitionCount;
      int toPartitionCount = currentPartitionCount + Math.min(pendingPartitionCount, maxTasks);
      List<AlterTableAddPartitionDesc> partitionBatch = partitionDescs.subList(currentPartitionCount,
        toPartitionCount);",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hive,hive.mapjoin.optimized.hashtable.wbsize,"maxProbeSize = Math.max(maxProbeSize, wbSize);",V->P,Performance,Workload Adaption,Resource Tunning,/,unexpected results,/,no,Lack of full adaption
hive,hive.exec.reducers.max,"targetCount = Math.min(maxReducers, (int) Math.ceil(minReducersPerExec * executorCount));
reduceWork.setNumReduceTasks(Math.max(reduceWork.getNumReduceTasks(), targetCount));",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
hive,hive.llap.io.encode.alloc.size,"    if (allocSize > maxAllocSize) {
      LlapIoImpl.LOG.error(""Encode allocation size "" + allocSize + "" is being capped to the maximum ""
          + ""allocation size "" + bufferManager.getAllocator().getMaxAllocation());
      allocSize = maxAllocSize;
    }",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,/,/,no,/
mapreduce,mapreduce.terasort.num.partitions,"    int samples =
        Math.min(conf.getInt(TeraSortConfigKeys.NUM_PARTITIONS.key(),
                             TeraSortConfigKeys.DEFAULT_NUM_PARTITIONS),
            splits.size());",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,unexpected results,"System.out.println(""Sampling "" + samples + "" splits of "" + splits.size());",no,Lack of full adaption
mapreduce,mapreduce.job.speculative.speculative-cap-running-tasks,"      numberAllowedSpeculativeTasks
          = (int) Math.max(numberAllowedSpeculativeTasks,
              proportionRunningTasksSpeculatable * numberRunningTasks);",V->P,Performance,Workload Adaption,Resource Tunning,/,Performance Degradation,/,no,Lack of full adaption
mapreduce,mapreduce.shuffle.transfer.buffer.size,"    ByteBuffer byteBuffer = ByteBuffer.allocate(
            Math.min(
                    this.shuffleBufferSize,
                    trans > Integer.MAX_VALUE ? Integer.MAX_VALUE : (int) trans));",V->P,Performance,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,Performance Degradation,/,no,Lack of full adaption
mapreduce,mapreduce.job.reduces,"      int actualMax = Math.min(maxEvents,
          (eventList.size() - startIndex));",V->P,Reliability,Workload Adaption,Out-of-Bounds Prevention,Prevent excessive resource utilization,unexpected results,/,no,Lack of full adaption
mapreduce,mapreduce.task.io.sort.mb,if (bufindex + len > bufvoid) {,V->P,Reliability,Workload Adaption,Resource Tunning,Prevent excessive resource utilization,/,/,no,/
