Parameters,Pattern,On-the-fly Update
dfs.block.scanner.skip.recent.accessed,p,no
dfs.client.block.reader.remote.buffer.size,p,no
dfs.client.deadnode.detection.probe.deadnode.threads,p,no
dfs.client.domain.socket.data.traffic,p,no
dfs.client.read.use.cache.priority,p,no
dfs.client.refresh.read-block-locations.threads,p,no
dfs.datanode.directoryscan.threads,p,no
dfs.datanode.fixed.volume.size,p,no
dfs.datanode.fsdatasetcache.max.threads.per.volume,p,no
dfs.datanode.peer.metrics.min.outlier.detection.samples,p,yes
dfs.datanode.pmem.cache.recovery,p,no
dfs.datanode.sync.behind.writes.in.background,p,no
dfs.ha.automatic-failover.enabled,p,no
dfs.image.compress,p,no
dfs.mover.movedWinWidth,p,no
dfs.namenode.acls.enabled,p,no
dfs.namenode.block-placement-policy.exclude-slow-nodes.enabled,p,yes
dfs.namenode.edits.qjournals.resolution-enabled,p,no
dfs.namenode.path.based.cache.block.map.allocation.percent,p,no
dfs.namenode.read.considerStorageType,p,no
dfs.namenode.redundancy.considerLoad,p,no
dfs.namenode.redundancy.considerLoadByStorageType,p,no
dfs.namenode.redundancy.considerLoadByVolume,p,no
dfs.namenode.retrycache.heap.percent,p,no
dfs.namenode.support.allow.format,p,no
dfs.permissions.superusergroup,p,no
dfs.qjournal.new-epoch.timeout.ms,p,no
dfs.qjournal.parallel-read.num-threads,p,no
dfs.client.socket.send.buffer.size,p&c,no
dfs.client.test.drop.namenode.response.number,p&c,no
dfs.datanode.data.transfer.bandwidthPerSec,p&c,yes
dfs.datanode.readahead.bytes,p&c,no
dfs.datanode.reconcile.blocks.batch.interval,p&c,no
dfs.datanode.reconcile.blocks.batch.size,p&c,no
dfs.datanode.transfer.socket.recv.buffer.size,p&c,no
dfs.ha.zkfc.port,p&c,no
dfs.image.parallel.threads,p&c,no
dfs.namenode.handler.count,p&c,no
dfs.namenode.lazypersist.file.scrub.interval.sec,p&c,no
dfs.namenode.safemode.recheck.interval,p&c,no
io.file.buffer.size,p&c,no
dfs.balancer.dispatcherThreads,p&c&v,no
dfs.client.socketcache.capacity,p&c&v,no
dfs.client-write-packet-size,p&c&v,no
dfs.datanode.failed.volumes.tolerated,p&c&v,no
dfs.datanode.max.transfer.threads,p&c&v,yes
dfs.datanode.scan.period.hours,p&c&v,no
dfs.disk.balancer.max.disk.errors,p&c&v,no
dfs.ha.tail-edits.namenode-retries,p&c&v,no
dfs.image.parallel.target.sections,p&c&v,no
dfs.namenode.checkpoint.period,p&c&v,no
dfs.namenode.decommission.backoff.monitor.pending.blocks.per.lock,p&c&v,yes
dfs.namenode.decommission.max.concurrent.tracked.nodes,p&c&v,no
dfs.namenode.fs-limits.max-xattrs-per-inode,p&c&v,no
dfs.namenode.list.openfiles.num.responses,p&c&v,no
dfs.namenode.redundancy.considerLoad.factor,p&c&v,no
dfs.namenode.replication.work.multiplier.per.iteration,p&c&v,yes
dfs.balancer.getBlocks.size,p&v,no
dfs.client.block.write.retries,p&v,no
dfs.client.cache.drop.behind.reads,p&v,no
dfs.client.max.block.acquire.failures,p&v,no
dfs.datanode.drop.cache.behind.reads,p&v,no
dfs.datanode.drop.cache.behind.writes,p&v,no
dfs.datanode.max.disks.to.report,p&v,no
dfs.datanode.min.outlier.detection.nodes,p&v,yes
dfs.datanode.slow.io.warning.threshold.ms,p&v,no
dfs.datanode.sync.behind.writes,p&v,no
dfs.datanode.volumes.replica-add.threadpool.size,p&v,no
dfs.image.parallel.load,p&v,no
dfs.image.transfer.chunksize,p&v,no
dfs.namenode.avoid.read.slow.datanode,p&v,no
dfs.namenode.avoid.read.stale.datanode,p&v,no
dfs.namenode.avoid.write.stale.datanode,p&v,no
dfs.namenode.checkpoint.check.quiet-multiplier,p&v,no
dfs.namenode.checkpoint.max-retries,p&v,no
dfs.namenode.fs-limits.max-blocks-per-file,p&v,no
dfs.namenode.fs-limits.max-component-length,p&v,no
dfs.namenode.fs-limits.min-block-size,p&v,no
dfs.namenode.invalidate.work.pct.per.iteration,p&v,no
dfs.namenode.max.slowpeer.collect.nodes,p&v,yes
dfs.namenode.max-corrupt-file-blocks-returned,p&v,no
dfs.namenode.name.dir.restore,p&v,no
dfs.namenode.posix.acl.inheritance.enabled,p&v,no
dfs.namenode.read-lock-reporting-threshold-ms,p&v,no
dfs.namenode.safemode.threshold-pct,p&v,no
dfs.namenode.startup.delay.block.deletion.sec,p&v,no
dfs.namenode.write.stale.datanode.ratio,p&v,no
dfs.permissions.allow.owner.set.quota,p&v,no
dfs.permissions.enabled,p&v,no
dfs.replication,p&v,no
DFS_BALANCER_MOVERTHREADS_KEY,p&v,no
nfs.max.open.files,p&v,no
nfs.rtmax,p&v,no
