Parameters,Pattern,On-the-fly Update
datanucleus.connectionPool.maxPoolSize,p,no
hive.binary.record.max.length,p,no
hive.cache.expr.evaluation,p,no
hive.compactor.worker.timeout,p,no
hive.druid.metadata.base,p,no
hive.exec.compress.output,p,no
hive.hook.proto.file.per.event,p,no
hive.llap.allow.permanent.fns,p,no
hive.mapjoin.bucket.cache.size,p,no
hive.mapjoin.testing.no.hash.table.load,p,no
hive.metadata.move.exported.metadata.to.trash,p,no
hive.metastore.aggregate.stats.cache.max.writer.wait,p,no
hive.metastore.hbase.file.metadata.threads,p,no
hive.metastore.server.min.threads,p,no
hive.metastore.thrift.framed.transport.enabled,p,no
hive.metastore.try.direct.sql,p,no
hive.optimize.bucketingsorting,p,no
hive.optimize.ppd.storage,p,no
hive.orc.splits.include.file.footer,p,no
hive.privilege.synchronizer,p,no
hive.repl.dump.metadata.only.for.external.table,p,no
hive.repl.parallel.copy.tasks,p,no
hive.repl.partitions.dump.parallelism,p,no
hive.repl.source.cluster.name,p,no
hive.script.recordwriter,p,no
hive.security.metastore.authorization.auth.reads,p,no
hive.server2.authentication.ldap.baseDN,p,no
hive.server2.wm.worker.threads,p,no
hive.smbjoin.cache.rows,p,no
hive.stats.join.ndv.readjustment,p,no
hive.strict.checks.orderby.no.limit,p,no
hive.syslog.input.format.file.pruning,p,no
hive.txn.acid.metrics.max.cache.size,p,no
hive.txn.manager,p,no
metastore.server.max.message.size,p,no
metastore.server.max.threads,p,no
metastore.thrift.compact.protocol.enabled,p,no
hive.llap.zk.sm.session.timeout,p&c,no
hive.metastore.client.connect.retry.delay,p&c,no
hive.metastore.fshandler.threads,p&c,no
hive.metastore.wm.default.pool.size,p&c,no
hive.ptf.rangecache.size,p&c,no
hive.repl.replica.external.table.base.dir,p&c,no
hive.stats.gather.num.threads,p&c,no
hive.stats.ndv.estimate.percent,p&c,no
hive.tez.container.size,p&c,no
metastore.stats.auto.analyze.worker.count,p&c,no
hive.basic.stats.max.threads.factor,p&c&v,no
hive.direct.sql.max.query.length,p&c&v,no
hive.exec.script.maxerrsize,p&c&v,no
hive.mapjoin.optimized.hashtable.wbsize,p&c&v,no
hive.metastore.aggregate.stats.cache.fpp,p&c&v,no
hive.metastore.direct.sql.batch.size,p&c&v,no
hive.metastore.limit.partition.request,p&c&v,no
hive.repl.approx.max.load.tasks,p&c&v,no
hive.repl.bootstrap.dump.open.txn.timeout,p&c&v,no
hive.repl.stats.events.count,p&c&v,no
hive.compactor.wait.timeout,p&v,no
hive.enforce.bucketmapjoin,p&v,no
hive.exec.copyfile.maxnumfiles,p&v,no
hive.exec.max.created.files,p&v,no
hive.exec.max.dynamic.partitions,p&v,no
hive.exec.orc.blob.storage.split.size,p&v,no
hive.exec.parallel.thread.number,p&v,no
hive.exec.reducers.bytes.per.reducer,p&v,no
hive.exec.reducers.max,p&v,no
hive.file.max.footer,p&v,no
hive.fileformat.check,p&v,no
hive.hook.proto.queue.capacity,p&v,no
hive.join.cache.size,p&v,no
hive.join.cache.size,p&v,no
hive.llap.io.encode.alloc.size,p&v,no
hive.llap.io.encode.slice.row.count,p&v,no
hive.map.aggr.hash.percentmemory,p&v,no
hive.mapjoin.smalltable.filesize,p&v,no
hive.materializedview.rebuild.incremental,p&v,no
hive.metastore.batch.retrieve.max,p&v,no
hive.metastore.batch.retrieve.table.partition.max,p&v,no
hive.metastore.connect.retries,p&v,no
hive.notification.sequence.lock.max.retries,p&v,no
hive.optimize.bi.enabled,p&v,no
hive.optimize.bucketmapjoin,p&v,no
hive.optimize.topnkey.efficiency.threshold,p&v,no
hive.orc.compute.splits.num.threads,p&v,no
hive.repl.batch.incremental.events,p&v,no
hive.repl.external.warehouse.single.copy.task,p&v,no
hive.repl.failover.start,p&v,no
hive.repl.load.partitions.batch.size,p&v,no
hive.stats.correlated.multi.key.joins,p&v,no
hive.stats.list.num.entries,p&v,no
hive.txn.acid.metrics.delta.pct.threshold,p&v,no
hive.txn.nonacid.read.locks,p&v,no
hive.vectorized.complex.types.enabled,p&v,no
hive.write.notification.max.batch.size,p&v,no
metastore.aggregate.stats.cache.size,p&v,no
metastore.connect.retries,p&v,no
metastore.partition.management.task.thread.pool.size,p&v,no
