Parameter,Pattern,On-the-fly Update
create_admin_listener_thread,p,no
innodb_read_io_threads,p,no
ndb_schema_dist_upgrade_allowed,p,no
binlog_direct_non_transactional_updates,p,yes
binlog_error_action,p,yes
binlog_expire_logs_auto_purge,p,yes
clone_autotune_concurrency,p,yes
innodb_compress_debug,p,yes
innodb_disable_sort_file_cache,p,yes
innodb_log_writer_threads,p,yes
mysqlx_connect_timeout,p,yes
ndb_batch_size,p,yes
optimizer_search_depth,p,yes
rpl_read_size,p,yes
select_into_disk_sync,p,yes
temptable_use_mmap,p,yes
clone_buffer_size,p&c,yes
clone_donor_timeout_after_network_failure,p&c,yes
default_storage_engine,p&c,yes
innodb_concurrency_tickets,p&c,yes
innodb_io_capacity,p&c,yes
innodb_lock_wait_timeout,p&c,yes
innodb_purge_batch_size,p&c,yes
replica_allow_batching,p&c,yes
innodb_buf_pool_instances,p&c&v,no
innodb_buffer_pool_chunk_size,p&c&v,no
innodb_doublewrite_files,p&c&v,no
innodb_page_size,p&c&v,no
myisam_block_size,p&c&v,no
binlog_cache_size,p&c&v,yes
binlog_row_image,p&c&v,yes
clone_max_io_bandwidth,p&c&v,yes
connection_control_failed_connections_threshold,p&c&v,yes
innodb_buffer_pool_dump_pct,p&c&v,yes
innodb_change_buffer_max_size,p&c&v,yes
innodb_log_buffer_size,p&c&v,yes
join_buffer_size,p&c&v,yes
key_buffer_size,p&c&v,yes
key_cache_block_size,p&c&v,yes
max_allowed_pocket,p&c&v,yes
max_sort_length,p&c&v,yes
myisam_mmap_size,p&c&v,yes
optimizer_trace_max_mem_size,p&c&v,yes
binlog_gtid_simple_recovery,p&v,no
ft_max_word_len,p&v,no
innodb_ft_cache_size,p&v,no
ndb_wait_connected,p&v,no
ndb_wait_setup,p&v,no
binlog_group_commit_sync_no_delay_count,p&v,yes
binlog_order_commits,p&v,yes
binlog_transaction_dependency_history_size,p&v,yes
bulk_insert_buffer_size,p&v,yes
clone_block_ddl,p&v,yes
global_connection_memory_limit,p&v,yes
connection_memory_limit,p&v,yes
cte_max_recursion_depth,p&v,yes
group_replication_autorejoin_tries,p&v,yes
group_replication_clone_threshold,p&v,yes
group_replication_transaction_size_limit,p&v,yes
host_cache_size,p&v,yes
innodb_commit_concurrency,p&v,yes
innodb_ddl_buffer_size,p&v,yes
innodb_extend_and_initialize,p&v,yes
innodb_max_undo_tablespace_size,p&v,yes
innodb_parallel_read_threads,p&v,yes
innodb_redo_log_capacity_used,p&v,yes
myisam_sort_buffer_size,p&v,yes
ndb_blob_read_batch_bytes,p&v,yes
net_retry_count,p&v,yes
optimizer_trace_limit,p&v,yes
preload_buffer_size,p&v,yes
profiling_history_size,p&v,yes
replica_pending_jobs_size_max,p&v,yes
slave_transaction_retries,p&v,yes
stored_program_cache,p&v,yes
super_read_only,p&v,yes
sync_masterinfo_period,p&v,yes
tmp_table_size,p&v,yes
