Parameter,Pattern,On-the-fly Update
aio_write,p,yes
autoindex_exact_size,p,yes
client_body_in_single_buffer,p,yes
client_body_timeout,p,yes
connection_pool_size,p,yes
create_full_put_path,p,yes
fastcgi_buffer_size,p,yes
fastcgi_busy_buffers_size,p,yes
fastcgi_intercept_errors,p,yes
grpc_intercept_errors,p,yes
grpc_socket_keepalive,p,yes
grpc_ssl_verify_depth,p,yes
grpc_ssl_verify_depth,p,yes
gunzip_buffers,p,yes
gzip_buffers,p,yes
http2,p,yes
http2_recv_buffer_size,p,yes
imap_client_buffer,p,yes
imap_client_buffer,p,yes
limit_conn_dry_run,p,yes
limit_conn_log_level,p,yes
log_not_found,p,yes
master_process,p,yes
preread_buffer_size,p,yes
proxy_busy_buffers_size,p&c,yes
proxy_intercept_errors,p,yes
proxy_set_header,p,yes
proxy_ssl_session_reuse,p,yes
quic_bpf,p,yes
quic_gso,p,yes
request_pool_size,p,yes
reset_timedout_connection,p,yes
scgi_force_ranges,p,yes
scgi_intercept_errors,p,yes
ssl_reject_handshake,p,yes
ssl_stapling_responder,p,yes
uwsgi_cache_valid,p,yes
uwsgi_socket_keepalive,p,yes
uwsgi_ssl_session_reuse,p,yes
autoindex_localtime,p&c,yes
directio_alignment,p&c,yes
google_perftools_profiles,p&c,yes
image_filter_jpeg_quality,p&c,yes
map_hash_bucket_size,p&c,yes
proxy_pass_error_message,p&c,yes
referer_hash_bucket_size,p&c,yes
satisfy,p&c,yes
server_names_hash_bucket_size,p&c,yes
uwsgi_ssl_trusted_certificate,p&c,yes
client_header_buffer_size,p&c&v,yes
client_max_body_size,p&c&v,yes
grpc_ignore_headers,p&c&v,yes
http2_body_preread_size,p&c&v,yes
keepalive_disable,p&c&v,yes
map_hash_max_size,p&c&v,yes
proxy_download_rate,p&c&v,yes
proxy_temp_file_write_size,p&c&v,yes
quic_active_connection_id_limit,p&c&v,yes
uwsgi_cache_background_update,p&c&v,yes
client_body_buffer_size,p&v,yes
fastcgi_ignore_client_abort,p&v,yes
fastcgi_next_upstream_tries,p&v,yes
fastcgi_socket_keepalive,p&v,yes
fastcgi_temp_file_write_size,p&v,yes
grpc_buffer_size,p&v,yes
gzip_comp_level,p&v,yes
gzip_min_length,p&v,yes
gzip_min_length,p&v,yes
gzip_static,p&v,yes
hls_mp4_buffer_size,p&v,yes
hls_mp4_max_buffer_size,p&v,yes
http2_chunk_size,p&v,yes
http2_max_requests,p&v,yes
image_filter_buffer,p&v,yes
image_filter_transparency,p&v,yes
keepalive_time,p&v,yes
large_client_header_buffers,p&v,yes
limit_conn,p&v,yes
limit_req_log_level,p&v,yes
lingering_timeout,p&v,yes
max_errors,p&v,yes
memcached_next_upstream,p&v,yes
open_file_cache_valid,p&v,yes
output_buffers,p&v,yes
perl_require,p&v,yes
proxy_buffer_size,p&v,yes
proxy_cache_background_update,p&v,yes
proxy_cache_lock_age,p&v,yes
proxy_headers_hash_bucket_size,p&c&v,yes
proxy_ignore_client_abort,p&v,yes
proxy_ssl_crl,p&v,yes
read_ahead,p&v,yes
scgi_cache_methods,p&v,yes
scgi_cache_min_uses,p&v,yes
scgi_cache_revalidate,p&v,yes
uwsgi_cache_max_range_offset,p&v,yes
fastcgi_socket_keepalive,p&v,yes
grpc_intercept_errors,p,yes
google_perftools_profiles,p&c,yes
grpc_intercept_errors,p,yes
