Parameters,Pattern,On-the-fly Update
data_sync_retry,p,yes
default_tablespace,p,yes
default_toast_compression,p,yes
enable_indexonlyscan,p,yes
enable_memoize,p,yes
enable_partitionwise_join,p,yes
enable_seqscan,p,yes
enable_sort,p,yes
fullPageWrites,p,yes
jit_profiling_support,p,yes
num_temp_buffers,p,yes
pgstat_track_counts,p,yes
syslog_sequence_numbers,p,yes
track_commit_timestamp,p,yes
track_wal_io_timing,p,yes
autovacuum_vac_cost_limit,p&c,yes
extra_float_digits,p&c,yes
huge_page_size,p&c,yes
huge_pages,p&c,yes
log_min_messages,p&c,yes
max_predicate_locks_per_relation,p&c,yes
Nbuffers,p&c,yes
temp_file_limit,p&c,yes
wal_decode_buffer_size,p&c,yes
min_dynamic_shared_memory,p&c,yes
XLOGbuffers,p&c,yes
checkpoint_flush_after,p&c&v,yes
effective_io_concurrency,p&c&v,yes
Log_RotationSize,p&c&v,yes
log_temp_files,p&c&v,yes
max_wal_senders,p&c&v,yes
wal_receiver_status_interval,p&c&v,yes
XLogArchiveTimeout,p&c&v,yes
max_parallel_maintenance_workers,p&v,yes
DeadlockTimeout,p&v,yes
effective_cache_size,p&v,yes
from_collapse_limit,p&v,yes
max_files_per_process,p&v,yes
max_parallel_apply_workers_per_subscription,p&v,yes
max_stack_depth,p&v,yes
max_worker_processes,p&v,yes
MaxConnections,p&v,yes
wal_keep_size_mb,p&v,yes
bgwriter_lru_multiplier,p&v,yes
enableFsync,p&v,yes
Geqo_pool_size,p&v,yes
log_connections,p&v,yes
max_locks_per_xact,p&v,yes
parallel_leader_participation,p&v,yes
syslog_split_messages,p&v,yes
