Parameter,Pattern,On-the-fly Update
ROUTER_APPSINFO_CACHED_COUNT,p,no
ROUTER_CLIENTRM_PARTIAL_RESULTS_ENABLED,p,no
ROUTER_KERBEROS_PRINCIPAL_HOSTNAME_KEY,p,no
ROUTER_USER_CLIENT_THREAD_POOL_MINIMUM_POOL_SIZE,p,no
ROUTER_WEBAPP_DEFAULT_INTERCEPTOR_CLASS,p,no
ROUTER_WEBAPP_ENABLE_CORS_FILTER,p,no
ROUTER_WEBAPP_INTERCEPTOR_CLASS_PIPELINE,p,no
yarn.resourcemanager.webapp.address,p,no
APPS_CACHE_SIZE,p,no
FEDERATION_STATESTORE_SQL_MAXCONNECTIONS,p,no
GPG_POLICY_GENERATOR_READONLY,p,no
GPG_SCHEDULED_EXECUTOR_THREADS,p,no
LOAD_BASED_SC_SELECTOR_USE_ACTIVE_CORE,p,no
NM_LOCALIZER_FETCH_THREAD_COUNT,p,no
NM_LOG_DELETION_THREADS_COUNT,p,no
NM_LOG_RETAIN_SECONDS,p,no
NM_NUMA_AWARENESS_ENABLED,p,no
NM_PMEM_MB,p,no
OPPORTUNISTIC_CONTAINER_ALLOCATION_ENABLED,p,no
RM_ACTIVITIES_MANAGER_CLEANUP_INTERVAL_MS,p,no
RM_AMLAUNCHER_THREAD_COUNT,p,no
RM_CLIENT_THREAD_COUNT,p,no
RM_HISTORY_WRITER_MULTI_THREADED_DISPATCHER_POOL_SIZE,p,no
RM_PLACEMENT_CONSTRAINTS_ALGORITHM_POOL_SIZE,p,no
RM_RESOURCE_TRACKER_CLIENT_THREAD_COUNT,p,no
RM_SCHEDULER_CLIENT_THREAD_COUNT,p,no
RM_SCHEDULER_ENABLE_MONITORS,p,no
RM_TIMELINE_SERVER_V1_PUBLISHER_BATCH_ENABLED,p,no
RM_WEBAPP_ENABLE_CORS_FILTER,p,no
RM_ZK_TIMEOUT_MS,p,no
ROUTER_SCHEDULED_EXECUTOR_THREADS,p,no
SHARED_CACHE_NM_UPLOADER_THREAD_COUNT,p,no
TIMELINE_SERVICE_CLIENT_BEST_EFFORT,p,no
TIMELINE_SERVICE_ENABLED,p,no
TIMELINE_SERVICE_ENTITYGROUP_FS_STORE_THREADS,p,no
TIMELINE_SERVICE_HTTP_CROSS_ORIGIN_ENABLED,p,no
TIMELINE_SERVICE_LEVELDB_CACHE_READ_CACHE_SIZE,p,no
YARN_CLIENT_APP_SUBMISSION_POLL_INTERVAL_MS,p,no
GPG_SUBCLUSTER_CLEANER_INTERVAL_MS,p&c,no
ROUTER_USER_CLIENT_THREADS_SIZE,p&c,no
CLIENT_FAILOVER_MAX_ATTEMPTS,p&c,no
FLOW_NAME_MAX_SIZE,p&c,no
NM_LOG_AGGREGATION_THREAD_POOL_SIZE,p&c,no
RM_NODE_IP_CACHE_EXPIRY_INTERVAL_SECS,p&c,no
RM_TIMELINE_SERVER_V1_PUBLISHER_DISPATCHER_BATCH_SIZE,p&c,no
TIMELINE_SERVICE_HANDLER_THREAD_COUNT,p&c,no
TIMELINE_SERVICE_LEVELDB_MAX_OPEN_FILES,p&c,no
TIMELINE_SERVICE_LEVELDB_READ_CACHE_SIZE,p&c,no
TIMELINE_SERVICE_LEVELDB_START_TIME_WRITE_CACHE_SIZE,p&c,no
RM_EPOCH_RANGE,p&c&v,no
ROUTER_CLIENTRM_SUBMIT_RETRY,p&c&v,no
NM_CLIENT_ASYNC_THREAD_POOL_MAX_SIZE,p&c&v,no
AM_SCHEDULING_NODE_BLACKLISTING_ENABLED,p&c&v,no
DistributedOpportunisticContainerAllocator,p&c&v,no
FEDERATION_AMRMPROXY_REGISTER_UAM_RETRY_COUNT,p&c&v,no
IN_MEMORY_STALENESS_PERIOD_MINS,p&c&v,no
NM_OPPORTUNISTIC_CONTAINERS_MAX_QUEUE_LENGTH,p&c&v,no
RM_AM_MAX_ATTEMPTS,p&c&v,no
RM_SCHEDULER_MINIMUM_ALLOCATION_VCORES,p&c&v,no
TIMELINE_SERVICE_CLIENT_MAX_RETRIES,p&c&v,no
FEDERATION_GPG_LOAD_BASED_MAX_EDIT,p&v,no
NM_CLIENT_MAX_NM_PROXIES,p&v,no
RM_ZK_ZNODE_SIZE_LIMIT_BYTES,p&v,no
ROUTER_ASC_INTERCEPTOR_MAX_SIZE,p&v,no
ROUTER_INTERCEPTOR_ALLOW_PARTIAL_RESULT_ENABLED,p&v,no
ROUTER_WEBAPP_ADDRESS,p&v,no
ROUTER_WEBAPP_PARTIAL_RESULTS_ENABLED,p&v,no
TIMELINE_SERVICE_READ_AUTH_ENABLED,p&v,no
FEDERATION_STATESTORE_CLEANUP_RETRY_COUNT,p&v,no
FEDERATION_STATESTORE_MAX_APPLICATIONS,p&v,no
FS_RM_STATE_STORE_NUM_RETRIES,p&v,no
LOAD_BASED_SC_SELECTOR_THRESHOLD,p&v,no
LOG_AGGREGATION_DEBUG_FILESIZE,p&v,no
NM_CONTAINER_DIAGNOSTICS_MAXIMUM_SIZE,p&v,no
NM_LOCALIZER_CACHE_TARGET_SIZE_MB,p&v,no
NM_LOG_DELETE_THRESHOLD,p&v,no
NODE_STORE_ROOT_DIR_NUM_RETRIES,p&v,no
NUMBER_OF_ASYNC_ENTITIES_TO_MERGE,p&v,no
RM_APPLICATION_MAX_TAG_LENGTH,p&v,no
RM_DELEGATION_TOKEN_MAX_CONF_SIZE,p&v,no
RM_DT_RENEWER_THREAD_RETRY_MAX_ATTEMPTS,p&v,no
RM_MAX_LOG_AGGREGATION_DIAGNOSTICS_IN_MEMORY,p&v,no
SHARED_CACHE_NESTED_LEVEL,p&v,no
TIMELINE_SERVICE_CLIENT_INTERNAL_TIMERS_TTL_SECS,p&v,no
TIMELINE_SERVICE_LEVELDB_WRITE_BATCH_SIZE,p&v,no
APPLICATION_HISTORY_ENABLED,p&v,no
FEDERATION_ENABLED,p&v,no
LOG_AGGREGATION_ENABLED,p&v,no
YARN_ACL_ENABLE,p&v,no
YARN_INTERMEDIATE_DATA_ENCRYPTION,p&v,no
